Timer,State,InteractionTorque,Angle,MotorTorque,HumanTorque
5.800272428,flexion,-3.732337419827392,80.55754572242807,-5.0,-6.096017231342076
5.833445529,flexion,-3.795343758167194,80.91049973968964,-5.0,-6.370169768406781
5.866769646,flexion,55.79391190743406,81.1662999202706,-5.0,-6.384694479881869
5.900278904,flexion,-3.994323538257855,81.26331653401303,-5.0,-6.514140843138517
5.933480539,flexion,-6.019626861453316,81.23638601091355,-5.0,-6.575829216624042
5.966833772,flexion,54.1515368845791,81.16056433495424,-5.0,-6.557132030617017
6.0001425,flexion,-6.077007810843023,81.04169177199876,-5.0,-6.659367486441927
6.033446158,flexion,-6.07312015526065,80.89117980836676,-5.0,-6.741274083371348
6.066775947,flexion,-6.136172795816,80.7022688567133,-5.0,-6.722943325687903
6.10008212,flexion,-6.131317440709014,80.46312034118826,-5.0,-6.887752783482342
6.133477683,flexion,-6.131652796607836,80.18965626085065,-5.0,-7.037750253525836
6.166982803,flexion,-6.19211038795307,79.87688927680162,-5.0,-7.023958939420499
6.200169881,flexion,-6.19465245446858,79.50949947348943,-5.0,-7.231944323070824
6.233439895,flexion,-6.245734531838786,79.09741419752943,-5.0,-7.390759818516771
6.266873871,flexion,-6.237059771784431,78.63260961437908,-5.0,-7.587225809796296
6.300132604,flexion,-6.280450673254311,78.10885123040916,-5.0,-7.752373399983112
6.333774665,flexion,-6.321060441253683,77.5230301179474,-5.0,-7.899877567593889
6.366772042,flexion,-6.369888797854914,76.84583586482903,-5.0,-7.997797116747966
6.400246525,flexion,-6.420861216410537,76.14056516199805,-5.0,-8.19189236459505
6.433497664,flexion,-6.455556103216362,75.41493037811611,-5.0,-8.440553669759272
6.466941959,flexion,-6.461381236259665,74.54908602242924,-5.0,-8.520238166858592
6.500191395,flexion,-6.538180125131731,73.60463810766788,-5.0,-8.66675336155262
6.533478462,flexion,-6.554891776821027,72.55680144158077,-5.0,-8.681156533191587
6.566872331,flexion,-6.619002633111831,71.46561249395037,-5.0,-8.763671072789675
6.600187792,flexion,-6.636405156782934,70.26587296680648,-5.0,-8.67192691135772
6.633465251,flexion,-6.652273946749825,69.03304109277377,-5.0,-8.803286685949953
6.666767938,flexion,-6.697058335838174,67.73505619906652,-5.0,-8.76334229319971
6.70024247,flexion,-6.725234296996044,66.38592302399528,-5.0,-8.69722502631685
